,num_sensors,record_freq,record_bytes,stochasticity,mean_mining_time,std,min,max
379,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
380,10,0.001,100,0,1.0,0.0,1.0,1.0
381,10,0.01,100,0,1.0,0.0,1.0,1.0
382,10,0.1,100,0,1.0033783783783783,0.05807462442498985,1.0,2.0
383,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
384,10,0.001,1,0,1.0,0.0,1.0,1.0
385,10,0.01,1,0,1.0,0.0,1.0,1.0
386,10,0.1,1,0,1.00187617260788,0.043314808182421,1.0,2.0
387,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
388,10,0.001,10,0,1.0,0.0,1.0,1.0
389,10,0.01,10,0,1.0,0.0,1.0,1.0
390,10,0.1,10,0,1.0017482517482517,0.04181210050035455,1.0,2.0
391,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
392,10,0.001,100,0,1.0,0.0,1.0,1.0
393,10,0.01,100,0,1.0,0.0,1.0,1.0
394,10,0.1,100,0,1.0359589041095891,0.3421375221625425,1.0,6.0
395,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
396,10,0.001,1,0,1.0,0.0,1.0,1.0
397,10,0.01,1,0,1.0185185185185186,0.1360827634879543,1.0,2.0
398,10,0.1,1,0,1.0052447552447552,0.07229373986440821,1.0,2.0
399,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
400,10,0.001,10,0,1.0,0.0,1.0,1.0
401,10,0.01,10,0,1.0166666666666666,0.1290994448735806,1.0,2.0
402,10,0.1,10,0,1.0053191489361701,0.07280283787618996,1.0,2.0
403,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
404,10,0.001,100,0,1.0,0.0,1.0,1.0
405,10,0.01,100,0,1.0,0.0,1.0,1.0
406,10,0.1,100,0,1.0033222591362125,0.057591069193014925,1.0,2.0
407,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
408,10,0.001,1,0,1.0,0.0,1.0,1.0
409,10,0.01,1,0,1.0,0.0,1.0,1.0
410,10,0.1,1,0,1.0017825311942958,0.0422200330920749,1.0,2.0
411,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
412,10,0.001,10,0,Failed on tick 300,,,
413,10,0.01,10,0,1.0,0.0,1.0,1.0
414,10,0.1,10,0,1.0052724077328647,0.07248339752594303,1.0,2.0
415,10,1.0,10,0,1.0033333333333334,0.05764833040850809,1.0,2.0
416,10,0.001,100,0,1.0,0.0,1.0,1.0
417,10,0.01,100,0,1.011764705882353,0.10846522890932811,1.0,2.0
418,10,0.1,100,0,1.0086206896551724,0.10961462208258378,1.0,3.0
419,10,1.0,100,0,103.51923076923077,60.070475753156906,2.0,207.0
420,10,0.001,1,0,1.0,0.0,1.0,1.0
421,10,0.01,1,0,1.0,0.0,1.0,1.0
422,10,0.1,1,0,1.0054446460980035,0.07365356328732493,1.0,2.0
423,10,1.0,1,0,1.0033333333333334,0.05764833040850809,1.0,2.0
424,10,0.001,10,0,1.0,0.0,1.0,1.0
425,10,0.01,10,0,1.0,0.0,1.0,1.0
